Datum,Zeit,Temp. A.,Feuchte A.,Luftdruck,Regen,Wind,Richtung
,,C,%,hPa,mm,km/h,
#Calibrate=0.360 #Regen0=0mm #Location=160/160m #Baro_correction=18hPa #Station=WS2500-PC V3.1
01.07.2008,00:00,8,89,1027,0.000,0.0,280
01.07.2008,00:05,8,89,1027,0.000,0.0,280
01.07.2008,00:10,8,89,1027,0.000,0.0,280
01.07.2008,00:15,8.1,89,1027,0.000,0.0,280
01.07.2008,00:20,8.1,89,1027,0.000,0.0,285
01.07.2008,00:25,8,89,1027,0.000,0.0,285
01.07.2008,00:30,8,89,1027,0.000,0.0,285
01.07.2008,00:35,8,89,1027,0.000,0.0,285
01.07.2008,00:40,7.9,89,1027,0.000,0.0,285
01.07.2008,00:45,7.8,89,1027,0.000,0.1,285
01.07.2008,00:50,7.8,89,1027,0.000,0.0,285
01.07.2008,00:55,7.7,89,1027,0.000,0.0,285
01.07.2008,01:00,7.7,89,1027,0.000,0.4,285
01.07.2008,01:04,7.8,90,1027,0.000,0.0,285
01.07.2008,01:10,7.7,90,1027,0.000,0.0,285
01.07.2008,01:15,7.7,90,1027,0.000,0.0,285
01.07.2008,01:20,7.8,90,1027,0.000,0.0,285
01.07.2008,01:25,7.8,90,1026,0.000,0.1,280
01.07.2008,01:30,7.8,90,1027,0.000,0.0,285
01.07.2008,01:35,7.8,90,1027,0.000,0.0,285
01.07.2008,01:40,7.7,90,1026,0.000,0.9,290
01.07.2008,01:45,7.8,91,1026,0.000,0.1,290
01.07.2008,01:50,7.8,91,1026,0.000,0.0,285
01.07.2008,01:55,7.9,91,1027,0.000,0.0,285
01.07.2008,01:59,8,91,1027,0.000,0.0,285
01.07.2008,02:05,8,91,1027,0.000,0.0,285
01.07.2008,02:10,8,91,1027,0.000,0.0,285
01.07.2008,02:15,8,91,1027,0.000,0.0,285
01.07.2008,02:20,8.1,90,1027,0.000,0.0,285
01.07.2008,02:25,8,90,1027,0.000,0.1,260
01.07.2008,02:30,8,90,1027,0.000,0.5,275
01.07.2008,02:35,7.9,90,1027,0.000,4.2,285
01.07.2008,02:40,7.9,90,1027,0.000,3.2,280
01.07.2008,02:45,7.8,91,1027,0.000,0.0,280
01.07.2008,02:50,7.8,91,1027,0.000,0.0,280
01.07.2008,02:55,7.8,91,1027,0.000,0.0,280
01.07.2008,03:00,7.9,90,1027,0.000,0.0,280
01.07.2008,03:05,7.8,90,1026,0.000,0.0,280
01.07.2008,03:10,7.8,90,1026,0.000,0.0,280
01.07.2008,03:15,7.8,90,1026,0.000,0.0,280
01.07.2008,03:20,7.7,90,1026,0.000,0.0,280
01.07.2008,03:25,7.7,90,1026,0.000,0.0,280
01.07.2008,03:30,7.7,90,1026,0.000,0.0,280
01.07.2008,03:35,7.7,91,1026,0.000,0.0,280
01.07.2008,03:40,7.8,91,1026,0.000,0.0,280
01.07.2008,03:45,7.8,91,1026,0.000,0.0,280
01.07.2008,03:50,7.8,91,1026,0.000,0.0,280
01.07.2008,03:55,7.9,91,1026,0.000,0.0,280
01.07.2008,04:00,7.9,91,1026,0.000,0.0,280
01.07.2008,04:05,7.9,91,1026,0.000,0.0,280
01.07.2008,04:10,7.9,90,1026,0.000,0.0,280
01.07.2008,04:15,7.9,90,1026,0.000,0.1,70
01.07.2008,04:20,7.9,90,1026,0.000,0.0,70
01.07.2008,04:25,7.9,90,1026,0.000,0.0,70
01.07.2008,04:30,7.8,90,1026,0.000,0.0,70
01.07.2008,04:35,7.8,90,1026,0.000,0.0,70
01.07.2008,04:40,7.8,91,1026,0.000,0.0,70
01.07.2008,04:45,7.8,90,1026,0.000,0.0,70
01.07.2008,04:50,7.8,91,1026,0.000,0.0,60
01.07.2008,04:55,7.8,91,1026,0.000,0.0,280
01.07.2008,05:00,7.8,91,1026,0.000,0.0,280
01.07.2008,05:05,7.9,91,1026,0.000,0.0,280
01.07.2008,05:10,7.9,91,1026,0.000,0.0,280
01.07.2008,05:15,7.9,91,1026,0.000,0.0,280
01.07.2008,05:20,8,91,1026,0.000,0.0,15
01.07.2008,05:25,8,91,1026,0.000,0.0,25
01.07.2008,05:30,8,91,1026,0.000,0.0,25
01.07.2008,05:35,8,91,1026,0.000,0.0,45
01.07.2008,05:40,8,91,1026,0.000,0.0,45
01.07.2008,05:45,8,91,1026,0.000,0.0,45
01.07.2008,05:50,8,91,1026,0.000,0.0,45
01.07.2008,05:55,7.9,91,1026,0.000,0.0,45
01.07.2008,06:00,7.9,91,1026,0.000,0.4,50
01.07.2008,06:05,8,91,1026,0.000,0.0,55
01.07.2008,06:10,8,91,1026,0.000,0.0,55
01.07.2008,06:15,7.9,91,1026,0.000,0.0,360
01.07.2008,06:20,7.9,91,1026,0.000,0.0,360
01.07.2008,06:25,7.9,91,1026,0.000,0.0,345
01.07.2008,06:30,8,91,1026,0.000,4.2,70
01.07.2008,06:35,8,91,1026,0.000,0.0,70
01.07.2008,06:40,8,91,1026,0.000,0.0,70
01.07.2008,06:45,8,91,1026,0.000,0.0,70
